Symbol,Signal_Date,Up_Pct,Vol_Ratio,Entry_Price,Signal_Open,Stop_Price,Target_Price,Risk_Pct,Outcome,Exit_Date,Exit_Price,Return_Pct,Hold_Days,Same_Bar_Both
ATGL,2026-01-01,4.835009705311455,28.745290576808973,594.1,567.35,550.3295,683.2149999999999,-7.3675307187342165,SL,2026-01-12,550.3295,-7.3675307187342165,7,False
ATHERENERG,2026-05-26,3.1690905144345694,1.5904537384099768,950.6,925.4,897.6379999999999,1093.19,-5.571428571428583,TARGET,2026-06-29,1093.19,15.000000000000014,22,False
DELHIVERY,2026-04-01,3.5277177825773887,1.5049477556028263,431.4,427.0,414.19,496.10999999999996,-3.9893370421882235,TARGET,2026-07-01,496.10999999999996,14.999999999999991,60,False
HSCL,2025-11-25,4.419431279620856,6.875313796554617,440.65,425.0,412.25,506.74749999999995,-6.445024395778953,TARGET,2026-04-21,506.74749999999995,14.999999999999991,98,False
HSCL,2026-03-05,3.4252769613384526,2.3011132940862473,457.45,443.15,429.85549999999995,526.0675,-6.032243961088657,SL,2026-03-09,429.85549999999995,-6.032243961088657,2,False
LLOYDSENT,2026-03-10,4.913848117421837,1.7872259105540778,49.32,47.17,45.7549,56.717999999999996,-7.2285077047850805,SL,2026-03-16,45.7549,-7.2285077047850805,4,False
LLOYDSENT,2026-03-25,3.8757879990660937,2.307703043872589,44.49,43.4,42.098,51.1635,-5.376489098673865,SL,2026-03-27,42.098,-5.376489098673865,1,False
RATNAVEER,2025-10-23,3.3773959021810906,1.8790046674798997,156.41,152.09,147.5273,179.87149999999997,-5.679112588709156,SL,2025-11-04,147.5273,-5.679112588709156,8,False
RATNAVEER,2025-12-22,4.341027084506166,3.4666985718648604,166.81,162.1,157.237,191.83149999999998,-5.738864576464242,SL,2025-12-24,157.237,-5.738864576464242,2,False
REDINGTON,2026-06-09,4.687636141848928,1.7451468082786636,240.3,230.58,223.6626,276.34499999999997,-6.923595505617985,TARGET,2026-06-19,276.34499999999997,14.999999999999991,8,False
RPTECH,2026-03-25,4.340905802344097,1.7171563582226497,360.55,348.0,337.56,414.6325,-6.376369435584528,SL,2026-03-30,337.56,-6.376369435584528,2,False
SAREGAMA,2026-04-10,3.894056440170268,1.948369943045932,329.5,318.9,309.33299999999997,378.92499999999995,-6.120485584218526,TARGET,2026-05-14,378.92499999999995,14.999999999999991,22,False
VINCOFE,2026-03-20,3.991165799021923,1.6947101400243707,131.84,126.95,123.1415,151.61599999999999,-6.597770024271854,SL,2026-05-18,123.1415,-6.597770024271854,36,False
WELCORP,2026-02-26,3.4681718407024054,1.6265343946167472,824.9,801.6,777.552,948.6349999999999,-5.739847254212627,SL,2026-03-02,777.552,-5.739847254212627,2,False
