Symbol,Signal_Date,Up_Pct,Vol_Ratio,Entry_Price,Signal_Open,Stop_Price,Target_Price,Risk_Pct,Outcome,Exit_Date,Exit_Price,Return_Pct,Hold_Days,Same_Bar_Both
ADANIPORTS,2026-02-02,4.327459290653568,1.4889125335787614,1403.1,1348.0,1307.56,1613.5649999999998,-6.809208181882975,SL,2026-03-23,1307.56,-6.809208181882975,34,False
ADANIPORTS,2026-03-05,4.524539877300593,1.1114010916416275,1499.3,1447.2,1403.784,1724.1949999999997,-6.370706329620479,SL,2026-03-12,1402.5,-6.456346294937632,5,False
ADANIPOWER,2025-09-25,3.114186851211076,,149.0,145.5,141.135,171.35,-5.278523489932896,TARGET,2025-10-20,171.35,14.999999999999991,16,False
ATGL,2026-01-01,4.835009705311455,28.745290576808973,594.1,567.35,550.3295,683.2149999999999,-7.3675307187342165,SL,2026-01-12,550.3295,-7.3675307187342165,7,False
ATGL,2026-01-22,3.7584019691375703,0.8258742085210621,548.0,532.95,516.9615,630.1999999999999,-5.6639598540146,SL,2026-01-23,516.9615,-5.6639598540146,1,False
ATGL,2026-06-04,3.685897435897423,1.10387123530863,744.05,718.6,697.042,855.6574999999999,-6.317854982864047,SL,2026-06-18,697.042,-6.317854982864047,10,False
ATHERENERG,2025-12-31,3.122011203716357,0.7781060181668135,754.75,732.35,710.3795,867.9625,-5.878834051010262,SL,2026-01-05,710.3795,-5.878834051010262,3,False
ATHERENERG,2026-05-26,3.1690905144345694,1.5904537384099768,950.6,925.4,897.6379999999999,1093.19,-5.571428571428583,TARGET,2026-06-29,1093.19,15.000000000000014,22,False
CLEANMAX,2026-04-22,4.468664850136239,1.3124450585169245,1054.35,1009.5,979.2149999999999,1212.5024999999998,-7.126191492388678,TARGET,2026-05-11,1212.5024999999998,14.999999999999991,12,False
CLEANMAX,2026-05-06,3.0393013100436628,0.8998038017348334,1179.8,1155.0,1120.35,1356.7699999999998,-5.038989659264281,TARGET,2026-05-14,1356.7699999999998,14.999999999999991,6,False
CONFIPET,2026-01-28,3.406558420885064,0.7218076988360143,32.48,31.5,30.555,37.352,-5.926724137931028,SL,2026-02-02,30.555,-5.926724137931028,4,False
CONFIPET,2026-07-09,4.372925386058579,0.34873607694809433,72.32,69.39,67.3083,83.16799999999999,-6.929894911504409,TARGET,2026-08-03,83.16799999999999,14.999999999999991,17,False
DELHIVERY,2026-04-01,3.5277177825773887,1.5049477556028263,431.4,427.0,414.19,496.10999999999996,-3.9893370421882235,TARGET,2026-07-01,496.10999999999996,14.999999999999991,60,False
EXICOM,2025-09-11,3.5856009070294848,,146.18,142.8,138.51600000000002,168.107,-5.2428512792447535,TARGET,2025-09-19,168.107,14.999999999999991,6,False
EXICOM,2026-05-07,3.492197385069584,1.4423329738586486,122.69,118.58,115.0226,141.09349999999998,-6.24940907979461,SL,2026-05-12,115.0226,-6.24940907979461,3,False
EXICOM,2026-05-19,4.776146456407471,1.0303726273540603,115.61,110.37,107.05890000000001,132.95149999999998,-7.396505492604444,TARGET,2026-05-21,132.95149999999998,14.999999999999991,2,False
HCC,2026-02-09,4.144805876180491,0.7565254625390665,19.85,19.25,18.6725,22.8275,-5.931989924433257,SL,2026-02-20,18.6725,-5.931989924433257,9,False
HFCL,2026-06-15,4.998254393110657,0.09833895170377287,180.45,180.45,175.0365,207.51749999999998,-3.0000000000000027,TARGET,2026-06-19,207.51749999999998,14.999999999999991,4,False
HFCL,2026-07-03,4.834058360623672,0.44915560788706776,214.48,205.43,199.2671,246.65199999999996,-7.092922417008573,SL,2026-07-24,199.2671,-7.092922417008573,15,False
HFCL,2026-07-15,4.8406805150860155,1.0477889553134718,223.08,214.3,207.871,256.542,-6.81773354850278,SL,2026-07-20,207.871,-6.81773354850278,3,False
HFCL,2026-07-21,4.778156996587035,0.8085317680176443,217.97,209.0,202.73,250.66549999999998,-6.991787860714782,SL,2026-07-24,202.0,-7.3266963343579405,3,False
HSCL,2025-09-10,3.973362930077684,,468.4,452.65,439.0705,538.66,-6.261635354397955,SL,2025-09-30,439.0705,-6.261635354397955,14,False
HSCL,2025-11-25,4.419431279620856,6.875313796554617,440.65,425.0,412.25,506.74749999999995,-6.445024395778953,TARGET,2026-04-21,506.74749999999995,14.999999999999991,98,False
HSCL,2026-03-05,3.4252769613384526,2.3011132940862473,457.45,443.15,429.85549999999995,526.0675,-6.032243961088657,SL,2026-03-09,429.85549999999995,-6.032243961088657,2,False
JSWINFRA,2025-09-09,3.917012448132784,,313.05,301.45,292.4065,360.0075,-6.59431400734708,SL,2025-10-24,292.4065,-6.59431400734708,31,False
LENSKART,2026-02-03,3.4110097939885176,0.628361754878921,459.3,449.55,436.0635,528.1949999999999,-5.059111691704777,TARGET,2026-02-12,528.1949999999999,14.999999999999991,7,False
LLOYDSENGG,2026-07-27,3.291110608459613,0.38050212895427793,91.33,89.05,86.37849999999999,105.02949999999998,-5.421548231687301,SL,2026-08-06,86.37849999999999,-5.421548231687301,8,False
LLOYDSENT,2026-03-10,4.913848117421837,1.7872259105540778,49.32,47.17,45.7549,56.717999999999996,-7.2285077047850805,SL,2026-03-16,45.7549,-7.2285077047850805,4,False
LLOYDSENT,2026-03-25,3.8757879990660937,2.307703043872589,44.49,43.4,42.098,51.1635,-5.376489098673865,SL,2026-03-27,42.098,-5.376489098673865,1,False
LLOYDSENT,2026-04-15,4.39579382865023,0.3383694361833899,60.56,58.6,56.842,69.64399999999999,-6.139365918097761,TARGET,2026-04-22,69.64399999999999,14.999999999999991,5,False
